timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695069355284,111,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-17,,true,,882,118,51,51,https://www.rokomari.com/,111,0,32
1695069355395,1859,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-17,text,true,,525547,122,51,51,https://www.rokomari.com/book,129,0,0
1695069354714,2588,HTTP Request,200,OK,ThreadLoadTestRokomari 1-7,text,true,,526436,240,52,52,https://www.rokomari.com/book,110,0,37
1695069354714,115,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-7,,true,,874,118,52,52,https://www.rokomari.com/,110,0,37
1695069354832,2470,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-7,text,true,,525562,122,52,52,https://www.rokomari.com/book,156,0,0
1695069356482,840,HTTP Request,200,OK,ThreadLoadTestRokomari 1-38,text,true,,526425,240,52,52,https://www.rokomari.com/book,109,0,35
1695069356482,109,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-38,,true,,874,118,52,52,https://www.rokomari.com/,109,0,35
1695069356591,731,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-38,text,true,,525551,122,52,52,https://www.rokomari.com/book,84,0,0
1695069355683,1756,HTTP Request,200,OK,ThreadLoadTestRokomari 1-24,text,true,,526431,240,54,54,https://www.rokomari.com/book,632,0,318
1695069355683,632,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-24,,true,,874,118,54,54,https://www.rokomari.com/,632,0,318
1695069356315,1124,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-24,text,true,,525557,122,54,54,https://www.rokomari.com/book,127,0,0
1695069355299,2219,HTTP Request,200,OK,ThreadLoadTestRokomari 1-3,text,true,,526419,240,56,56,https://www.rokomari.com/book,74,0,0
1695069355299,74,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-3,,true,,872,118,56,56,https://www.rokomari.com/,74,0,0
1695069355373,2145,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-3,text,true,,525547,122,56,56,https://www.rokomari.com/book,188,0,0
1695069354887,2642,HTTP Request,200,OK,ThreadLoadTestRokomari 1-10,text,true,,526431,240,56,56,https://www.rokomari.com/book,93,0,16
1695069354887,93,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-10,,true,,880,118,56,56,https://www.rokomari.com/,93,0,16
1695069354980,2549,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-10,text,true,,525551,122,56,56,https://www.rokomari.com/book,155,0,0
1695069356706,1685,HTTP Request,200,OK,ThreadLoadTestRokomari 1-6,text,true,,526443,240,70,70,https://www.rokomari.com/book,80,0,0
1695069356706,80,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-6,,true,,874,118,70,70,https://www.rokomari.com/,80,0,0
1695069356786,1605,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-6,text,true,,525569,122,70,70,https://www.rokomari.com/book,212,0,0
1695069356316,2218,HTTP Request,200,OK,ThreadLoadTestRokomari 1-35,text,true,,526423,240,69,69,https://www.rokomari.com/book,578,0,58
1695069356316,578,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-35,,true,,876,118,69,69,https://www.rokomari.com/,578,0,58
1695069356894,1640,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-35,text,true,,525547,122,69,69,https://www.rokomari.com/book,128,0,0
1695069356653,1890,HTTP Request,200,OK,ThreadLoadTestRokomari 1-41,text,true,,526431,240,69,69,https://www.rokomari.com/book,109,0,37
1695069356653,109,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-41,,true,,876,118,69,69,https://www.rokomari.com/,109,0,37
1695069356762,1781,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-41,text,true,,525555,122,69,69,https://www.rokomari.com/book,79,0,0
1695069355855,2690,HTTP Request,200,OK,ThreadLoadTestRokomari 1-27,text,true,,526441,240,69,69,https://www.rokomari.com/book,1048,0,305
1695069355855,1048,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-27,,true,,880,118,69,69,https://www.rokomari.com/,1048,0,305
1695069356903,1642,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-27,text,true,,525561,122,69,69,https://www.rokomari.com/book,131,0,0
1695069357518,1121,HTTP Request,200,OK,ThreadLoadTestRokomari 1-3,text,true,,526453,240,69,69,https://www.rokomari.com/book,76,0,0
1695069357518,77,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-3,,true,,884,118,69,69,https://www.rokomari.com/,76,0,0
1695069357595,1044,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-3,text,true,,525569,122,69,69,https://www.rokomari.com/book,118,0,0
1695069357440,1314,HTTP Request,200,OK,ThreadLoadTestRokomari 1-24,text,true,,526429,240,68,68,https://www.rokomari.com/book,72,0,0
1695069357440,72,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-24,,true,,880,118,68,68,https://www.rokomari.com/,72,0,0
1695069357512,1242,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-24,text,true,,525549,122,68,68,https://www.rokomari.com/book,118,0,0
1695069354943,3838,HTTP Request,200,OK,ThreadLoadTestRokomari 1-11,text,true,,526429,240,68,68,https://www.rokomari.com/book,124,0,21
1695069354943,124,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-11,,true,,874,118,68,68,https://www.rokomari.com/,124,0,21
1695069355067,3714,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-11,text,true,,525555,122,68,68,https://www.rokomari.com/book,746,0,0
1695069355399,3580,HTTP Request,200,OK,ThreadLoadTestRokomari 1-19,text,true,,526423,240,68,68,https://www.rokomari.com/book,341,0,43
1695069355399,341,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-19,,true,,872,118,68,68,https://www.rokomari.com/,341,0,43
1695069355740,3239,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-19,text,true,,525551,122,68,68,https://www.rokomari.com/book,140,0,0
1695069355570,3459,HTTP Request,200,OK,ThreadLoadTestRokomari 1-22,text,true,,526432,240,68,68,https://www.rokomari.com/book,813,0,734
1695069355570,813,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-22,,true,,876,118,68,68,https://www.rokomari.com/,813,0,734
1695069356383,2646,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-22,text,true,,525556,122,68,68,https://www.rokomari.com/book,144,0,0
1695069356341,2882,HTTP Request,200,OK,ThreadLoadTestRokomari 1-12,text,true,,526423,240,68,68,https://www.rokomari.com/book,74,0,0
1695069356341,74,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-12,,true,,872,118,68,68,https://www.rokomari.com/,74,0,0
1695069356415,2808,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-12,text,true,,525551,122,68,68,https://www.rokomari.com/book,152,0,0
1695069357254,2481,HTTP Request,200,OK,ThreadLoadTestRokomari 1-17,text,true,,526431,240,68,68,https://www.rokomari.com/book,290,0,0
1695069357254,290,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-17,,true,,878,118,68,68,https://www.rokomari.com/,290,0,0
1695069357544,2191,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-17,text,true,,525553,122,68,68,https://www.rokomari.com/book,122,0,0
1695069356718,3657,HTTP Request,200,OK,ThreadLoadTestRokomari 1-8,text,true,,526423,240,68,68,https://www.rokomari.com/book,72,0,0
1695069356718,72,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-8,,true,,874,118,68,68,https://www.rokomari.com/,72,0,0
1695069356791,3584,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-8,text,true,,525549,122,68,68,https://www.rokomari.com/book,156,0,0
